text,label
"drop near gym at 10am, bring 1k cash",drug
"meet park bench, i got mdma",drug
"xanax r in stock, 1 zip caps 💊 hit me",drug
"bro p1lls drop behind mall, midnight sharp",drug
yo wanna hangout later?,normal
"new mdma landed, safe batch",drug
"meet park bench, i got 420",drug
don’t forget meeting at 8pm,normal
"gram of white stuff for 7k, u down?",drug
u free to pickup 420?,drug
yo mule got stuff ready,drug
"plug said ganja tabs ready, 2g for 7k",drug
420 brownies 🍫 4 sale,drug
good morning ☀️ have a nice day,normal
let’s grab burger later 🍕,normal
"drop near station at 10am, bring ₹3k cash",drug
"drop near station at midnight, bring ₹10k cash",drug
"yo d r u g stash secured, u in?",drug
yo mule got stuff ready,drug
call me when free,normal
got mdma lines pure fishscale 🐟,drug
"new white stuff landed, safe batch",drug
"drop near park at 10am, bring 1k cash",drug
bro u want some hash 🌿🔥?,drug
yo wanna roll mdma rave night,drug
big stash of coke incoming,drug
"drop near cinema at midnight, bring 1k cash",drug
drop ₹10k nd get pure pills,drug
drop ₹3k nd get pure xanax,drug
u free to pickup 420?,drug
"bro d r u g drop behind mall, midnight sharp",drug
got pills lines pure fishscale 🐟,drug
let’s catch up at the gym tomorrow,normal
yo wanna roll pills rave night,drug
got white stuff lines pure fishscale 🐟,drug
see u at cinema tonight,normal
yo wanna hangout later?,normal
drop ₹3k nd get pure white stuff,drug
"yo p1lls stash secured, u in?",drug
drop 1k nd get pure white stuff,drug
good morning ☀️ have a nice day,normal
yo mule got stuff ready,drug
let’s grab pizza later 🍕,normal
yo mule got stuff ready,drug
yo need mdma oil carts?,drug
"drop near park at midnight, bring 1k cash",drug
yo mule got stuff ready,drug
"plug said acid tabs ready, 5g for ₹10k",drug
see u at cinema tonight,normal
let’s catch up at the cinema tomorrow,normal
"bro game night at my place, u coming?",normal
"drop near park at 9pm, bring ₹10k cash",drug
can u believe the heat today 🌧️,normal
"new benzos landed, safe batch",drug
let’s grab coffee later 🍕,normal
yo mule got stuff ready,drug
acid brownies 🍫 4 sale,drug
drop ₹3k nd get pure pills,drug
yo need acid oil carts?,drug
mdma brownies 🍫 4 sale,drug
"2g blunts for ₹3k, deal only today",drug
drop 1k nd get pure pills,drug
"plug said 420 tabs ready, 2g for 7k",drug
yo wanna roll hash rave night,drug
"yo d r u g stash secured, u in?",drug
"bro p1lls drop behind mall, 9pm sharp",drug
"pills r in stock, 2g caps 💊 hit me",drug
yo got that hash? need 500mg asap,drug
"2g blunts for ₹10k, deal only today",drug
let’s grab coffee later 🍕,normal
big stash of benzos incoming,drug
got ganja lines pure fishscale 🐟,drug
acid brownies 🍫 4 sale,drug
bro u want some pills 🌿🔥?,drug
"gram of mdma for ₹3k, u down?",drug
can u believe the storm today 🌧️,normal
"1 zip blunts for 1k, deal only today",drug
"bro d r u g drop behind mall, 8pm sharp",drug
yo wanna roll 420 rave night,drug
"gram of benzos for ₹10k, u down?",drug
got acid lines pure fishscale 🐟,drug
i’ll pick u up at 9pm,normal
"bro w33d drop behind mall, 8pm sharp",drug
"meet park bench, i got 420",drug
u free to pickup hash?,drug
coke brownies 🍫 4 sale,drug
let’s go workout this weekend,normal
yo wanna hangout later?,normal
"meet park bench, i got benzos",drug
happy birthday 🎉 hope u have a great day,normal
can u pls send me those notes,normal
"xanax r in stock, 1 zip caps 💊 hit me",drug
"plug said white stuff tabs ready, 2g for ₹3k",drug
"xanax r in stock, 5g caps 💊 hit me",drug
hope u feeling better now,normal
can u pls send me those notes,normal
u free to pickup pills?,drug
yo need xanax oil carts?,drug
big stash of hash incoming,drug
"mdma r in stock, 10 tabs caps 💊 hit me",drug
"drop near station at 10am, bring ₹10k cash",drug
can u pls send me those notes,normal
"drop near cinema at 9pm, bring ₹10k cash",drug
yo got that mdma? need 2g asap,drug
big stash of xanax incoming,drug
happy birthday 🎉 hope u have a great day,normal
yo mule got stuff ready,drug
bro u want some pills 🌿🔥?,drug
"new white stuff landed, safe batch",drug
u free to pickup 420?,drug
"meet park bench, i got white stuff",drug
good luck for ur exam tomorrow,normal
"new acid landed, safe batch",drug
coke brownies 🍫 4 sale,drug
big stash of acid incoming,drug
"gram of coke for ₹5k, u down?",drug
"5g blunts for ₹5k, deal only today",drug
"drop near park at 9pm, bring 7k cash",drug
"yo w33d stash secured, u in?",drug
"gram of coke for ₹5k, u down?",drug
yo wanna roll white stuff rave night,drug
hey how are you doing today?,normal
"new pills landed, safe batch",drug
happy birthday 🎉 hope u have a great day,normal
what time is the movie?,normal
i’ll pick u up at 9pm,normal
got xanax lines pure fishscale 🐟,drug
good luck for ur exam tomorrow,normal
"gram of mdma for ₹5k, u down?",drug
yo got that white stuff? need 10 tabs asap,drug
bro u want some white stuff 🌿🔥?,drug
yo wanna roll coke rave night,drug
"meet park bench, i got mdma",drug
i’ll pick u up at 10am,normal
good luck for ur exam tomorrow,normal
"2g blunts for 1k, deal only today",drug
"xanax r in stock, 2g caps 💊 hit me",drug
"drop near station at midnight, bring 7k cash",drug
yo got that hash? need 10 tabs asap,drug
u free to pickup hash?,drug
"meet park bench, i got xanax",drug
miss our old times,normal
"2g blunts for ₹5k, deal only today",drug
joint sesh tonight 🚬🌿,drug
let’s go shopping this weekend,normal
"new pills landed, safe batch",drug
yo wanna roll coke rave night,drug
"420 r in stock, 5g caps 💊 hit me",drug
bro lunch break in 10,normal
yo wanna roll xanax rave night,drug
bro u want some ganja 🌿🔥?,drug
hey how are you doing today?,normal
"benzos r in stock, 3g caps 💊 hit me",drug
i’ll pick u up at midnight,normal
drop 1k nd get pure acid,drug
drop 7k nd get pure hash,drug
don’t forget meeting at 8pm,normal
good luck for ur exam tomorrow,normal
"bro p1lls drop behind mall, midnight sharp",drug
i’ll pick u up at 9pm,normal
yo wanna roll white stuff rave night,drug
bro u want some coke 🌿🔥?,drug
yo need ganja oil carts?,drug
"drop near station at 8pm, bring ₹5k cash",drug
blunt sesh tonight 🚬🌿,drug
"2g blunts for 7k, deal only today",drug
i’ll pick u up at 10am,normal
yo wanna roll coke rave night,drug
joint sesh tonight 🚬🌿,drug
i’ll pick u up at 10am,normal
see u at cinema tonight,normal
u free to pickup coke?,drug
"bro w33d drop behind mall, midnight sharp",drug
"watching the match rn, crazy game",normal
i’ll pick u up at 8pm,normal
let’s catch up at the park tomorrow,normal
miss our old times,normal
bro u want some benzos 🌿🔥?,drug
what time is the movie?,normal
"gram of pills for ₹10k, u down?",drug
what’s ur fav song rn?,normal
yo mule got stuff ready,drug
"bro w33d drop behind mall, midnight sharp",drug
"meet park bench, i got white stuff",drug
let’s grab pizza later 🍕,normal
yo wanna roll hash rave night,drug
"new 420 landed, safe batch",drug
yo wanna roll acid rave night,drug
hash brownies 🍫 4 sale,drug
happy new year 🎆,normal
good morning ☀️ have a nice day,normal
"500mg blunts for ₹5k, deal only today",drug
"new xanax landed, safe batch",drug
good luck for ur exam tomorrow,normal
"gram of benzos for ₹5k, u down?",drug
"plug said hash tabs ready, 3g for ₹3k",drug
got white stuff lines pure fishscale 🐟,drug
can u pls send me those notes,normal
"plug said pills tabs ready, 10 tabs for 7k",drug
u free to pickup benzos?,drug
yo wanna roll white stuff rave night,drug
what time is the movie?,normal
"yo p1lls stash secured, u in?",drug
what time is the movie?,normal
can u believe the heat today 🌧️,normal
"yo d r u g stash secured, u in?",drug
"plug said 420 tabs ready, 10 tabs for 7k",drug
"watching the match rn, crazy game",normal
don’t forget meeting at 8pm,normal
what’s ur fav song rn?,normal
got hash lines pure fishscale 🐟,drug
bro lunch break in 10,normal
"drop near cinema at midnight, bring ₹10k cash",drug
good morning ☀️ have a nice day,normal
yo got that pills? need 500mg asap,drug
"500mg blunts for 1k, deal only today",drug
good luck for ur exam tomorrow,normal
"watching the game rn, crazy game",normal
"new acid landed, safe batch",drug
ganja brownies 🍫 4 sale,drug
yo need mdma oil carts?,drug
yo mule got stuff ready,drug
"10 tabs blunts for 1k, deal only today",drug
"hash r in stock, 10 tabs caps 💊 hit me",drug
u free to pickup mdma?,drug
hey how are you doing today?,normal
bro u want some 420 🌿🔥?,drug
yo mule got stuff ready,drug
yo need ganja oil carts?,drug
big stash of white stuff incoming,drug
yo mule got stuff ready,drug
joint sesh tonight 🚬🌿,drug
"bro p1lls drop behind mall, 9pm sharp",drug
"yo w33d stash secured, u in?",drug
"meet park bench, i got mdma",drug
"plug said 420 tabs ready, 500mg for ₹3k",drug
"plug said mdma tabs ready, 5g for 1k",drug
yo wanna roll hash rave night,drug
happy new year 🎆,normal
yo need xanax oil carts?,drug
yo got that white stuff? need 10 tabs asap,drug
what’s ur fav song rn?,normal
hey how are you doing today?,normal
"plug said acid tabs ready, 3g for 1k",drug
"gram of benzos for ₹3k, u down?",drug
"drop near mall at 8pm, bring 7k cash",drug
got ganja lines pure fishscale 🐟,drug
yo mule got stuff ready,drug
yo wanna hangout later?,normal
"plug said white stuff tabs ready, 10 tabs for ₹3k",drug
good luck for ur exam tomorrow,normal
"bro d r u g drop behind mall, 9pm sharp",drug
"3g blunts for 1k, deal only today",drug
yo need benzos oil carts?,drug
"watching the match rn, crazy game",normal
yo need hash oil carts?,drug
u free to pickup mdma?,drug
blunt sesh tonight 🚬🌿,drug
"gram of acid for 1k, u down?",drug
u free to pickup benzos?,drug
"watching the match rn, crazy game",normal
420 brownies 🍫 4 sale,drug
yo wanna roll acid rave night,drug
"watching the concert rn, crazy game",normal
yo got that hash? need 3g asap,drug
"1 zip blunts for ₹10k, deal only today",drug
hey how are you doing today?,normal
"1 zip blunts for 1k, deal only today",drug
"3g blunts for ₹5k, deal only today",drug
drop ₹3k nd get pure coke,drug
"plug said hash tabs ready, 3g for 7k",drug
call me when free,normal
don’t forget meeting at 9pm,normal
drop 7k nd get pure pills,drug
bro u want some ganja 🌿🔥?,drug
just finished jogging 💪,normal
drop ₹5k nd get pure coke,drug
yo wanna roll white stuff rave night,drug
happy birthday 🎉 hope u have a great day,normal
yo free for call later?,normal
yo mule got stuff ready,drug
"white stuff r in stock, 500mg caps 💊 hit me",drug
"yo p1lls stash secured, u in?",drug
"drop near gym at 8pm, bring ₹10k cash",drug
yo got that acid? need 2g asap,drug
hey how are you doing today?,normal
"bro w33d drop behind mall, 8pm sharp",drug
"meet park bench, i got hash",drug
don’t forget meeting at 9pm,normal
"2g blunts for ₹10k, deal only today",drug
"gram of ganja for ₹5k, u down?",drug
don’t forget meeting at 10am,normal
yo got that mdma? need 500mg asap,drug
what time is the movie?,normal
acid brownies 🍫 4 sale,drug
bro u want some mdma 🌿🔥?,drug
"plug said 420 tabs ready, 3g for 1k",drug
"yo d r u g stash secured, u in?",drug
"mdma r in stock, 3g caps 💊 hit me",drug
"gram of white stuff for ₹5k, u down?",drug
yo did u finish the design doc?,normal
"watching the game rn, crazy game",normal
hash brownies 🍫 4 sale,drug
hey how are you doing today?,normal
"new mdma landed, safe batch",drug
let’s catch up at the mall tomorrow,normal
i’ll pick u up at midnight,normal
yo wanna roll ganja rave night,drug
what’s ur fav song rn?,normal
got acid lines pure fishscale 🐟,drug
i’ll pick u up at midnight,normal
yo mule got stuff ready,drug
